"","Species","lon","lat","Presence"
"281","Araucaria_angustifolia",-49.64228,-27.95995,1
"283","Araucaria_angustifolia",-49.5748,-28.07428,1
"284","Araucaria_angustifolia",-49.573874,-28.053239,1
"285","Araucaria_angustifolia",-49.76484,-27.868911,1
"286","Araucaria_angustifolia",-49.62426,-27.97917,1
"287","Araucaria_angustifolia",-49.6393,-27.9859,1
"288","Araucaria_angustifolia",-50.56938,-29.038987,1
"289","Araucaria_angustifolia",-51.27429,-28.78151,1
"290","Araucaria_angustifolia",-50.6554,-29.41994,1
"292","Araucaria_angustifolia",-44.678942,-22.756417,1
"293","Araucaria_angustifolia",-53.857728,-25.217367,1
"294","Araucaria_angustifolia",-51.145928,-29.159692,1
"295","Araucaria_angustifolia",-51.959839,-26.795881,1
"301","Araucaria_angustifolia",-49.3721,-28.015181,1
"302","Araucaria_angustifolia",-49.372378,-28.014814,1
"303","Araucaria_angustifolia",-49.372731,-28.014383,1
"304","Araucaria_angustifolia",-49.373294,-28.013839,1
"305","Araucaria_angustifolia",-49.373644,-28.013411,1
"306","Araucaria_angustifolia",-49.374356,-28.012617,1
"307","Araucaria_angustifolia",-49.374617,-28.012161,1
"308","Araucaria_angustifolia",-49.374869,-28.011503,1
"309","Araucaria_angustifolia",-49.375058,-28.010889,1
"310","Araucaria_angustifolia",-49.375272,-28.010394,1
"311","Araucaria_angustifolia",-49.375678,-28.009389,1
"312","Araucaria_angustifolia",-49.3758,-28.008828,1
"313","Araucaria_angustifolia",-49.375622,-28.007942,1
"314","Araucaria_angustifolia",-49.375692,-28.007194,1
"315","Araucaria_angustifolia",-49.375103,-28.007097,1
"316","Araucaria_angustifolia",-49.373875,-28.005831,1
"317","Araucaria_angustifolia",-49.373536,-28.005442,1
"318","Araucaria_angustifolia",-49.373467,-28.004947,1
"319","Araucaria_angustifolia",-49.373525,-28.004428,1
"320","Araucaria_angustifolia",-49.373503,-28.003869,1
"321","Araucaria_angustifolia",-49.373036,-28.003375,1
"322","Araucaria_angustifolia",-49.372064,-28.002483,1
"323","Araucaria_angustifolia",-49.371417,-28.001989,1
"324","Araucaria_angustifolia",-49.371003,-28.001497,1
"325","Araucaria_angustifolia",-49.370506,-28.001156,1
"326","Araucaria_angustifolia",-49.370064,-28.000853,1
"327","Araucaria_angustifolia",-49.369678,-28.000447,1
"328","Araucaria_angustifolia",-49.369083,-27.999789,1
"329","Araucaria_angustifolia",-49.368947,-27.999292,1
"330","Araucaria_angustifolia",-49.368942,-27.998717,1
"331","Araucaria_angustifolia",-49.884619,-27.911294,1
"332","Araucaria_angustifolia",-49.883964,-27.911372,1
"333","Araucaria_angustifolia",-49.883675,-27.911814,1
"334","Araucaria_angustifolia",-49.88285,-27.912017,1
"335","Araucaria_angustifolia",-49.882336,-27.912528,1
"336","Araucaria_angustifolia",-49.882425,-27.912967,1
"337","Araucaria_angustifolia",-49.882625,-27.913422,1
"338","Araucaria_angustifolia",-49.882678,-27.913903,1
"339","Araucaria_angustifolia",-49.882131,-27.914283,1
"340","Araucaria_angustifolia",-49.881542,-27.914714,1
"341","Araucaria_angustifolia",-49.880925,-27.914906,1
"342","Araucaria_angustifolia",-49.8799,-27.915397,1
"343","Araucaria_angustifolia",-49.878239,-27.917389,1
"344","Araucaria_angustifolia",-49.877494,-27.917575,1
"345","Araucaria_angustifolia",-49.877319,-27.916725,1
"346","Araucaria_angustifolia",-49.87585,-27.917864,1
"347","Araucaria_angustifolia",-49.875503,-27.918278,1
"348","Araucaria_angustifolia",-49.874897,-27.918217,1
"349","Araucaria_angustifolia",-49.874194,-27.918186,1
"350","Araucaria_angustifolia",-49.873667,-27.918197,1
"351","Araucaria_angustifolia",-49.873047,-27.918472,1
"352","Araucaria_angustifolia",-49.872328,-27.918564,1
